,,,Salary,Salary,Salary,Salary,Salary,Salary,,
84,Rudy Gay\gayru01,SAS,$14000000,,,,,,Early Bird Rights,$14000000
85,Taurean Prince\princta02,BRK,$13942308,$15057692,,,,,1st Round pick,$29000000
86,Will Barton\bartowi01,DEN,$13920000,$14880000,,,,,Bird Rights,$13920000
87,Dāvis Bertāns\bertada01,WAS,$13793103,$14896552,$16000000,$17103448,$18206897,,Bird,$75000000
88,Thaddeus Young\youngth01,CHI,$13545000,$14190000,,,,,Cap space,$19545000
89,Terrence Ross\rosste01,ORL,$13500000,$12500000,$11500000,,,,Bird Rights,$37500000
90,Marcus Smart\smartma01,BOS,$13446428,$14339285,,,,,Bird Rights,$27785713
91,Patrick Beverley\beverpa01,LAC,$13333333,$14320988,,,,,Bird Rights,$27654321
92,Malik Beasley\beaslma01,MIN,$13325895,$14391964,$15458035,$16524106,,,Bird,$43175894
93,Patty Mills\millspa02,SAS,$13285714,,,,,,Bird Rights,$13285714
94,Christian Wood\woodch01,HOU,$13015874,$13666667,$14317459,,,,Sign and Trade,$41000000
95,J.J. Redick\redicjj01,NOP,$13013700,,,,,,Cap Space,$13013700
96,Justise Winslow\winslju01,MEM,$13000000,$13000000,,,,,1st Round Pick,$13000000
97,Trevor Ariza\arizatr01,OKC,$12800000,,,,,,Cap Space,$1800000
98,Brook Lopez\lopezbr01,MIL,$12697675,$13302325,$13906976,,,,Cap Space,$39906976
99,Dion Waiters\waitedi01,MEM,$12650000,,,,,,,$12650000
100,Cory Joseph\josepco01,SAC,$12600000,$12600000,,,,,Cap Space,$12600000
101,Markelle Fultz\fultzma01,ORL,$12288697,$16500000,$16500000,$17000000,,,1st Round Pick,$47288697
102,Kelly Olynyk\olynyke01,MIA,$12198243,,,,,,Cap space,$12198243
103,Tony Snell\snellto01,ATL,$12178571,,,,,,Cap space,$12178571
104,Robert Covington\covinro01,POR,$12138345,$12975471,,,,,Cap Space,$25113816
105,Kentavious Caldwell-Pope\caldwke01,LAL,$12073020,$13038862,$14004703,,,,Early Bird,$30000000
106,Jusuf Nurkić\nurkiju01,POR,$12000000,$12000000,,,,,Bird Rights,$16000000
107,T.J. Warren\warretj01,IND,$11750000,$12690000,,,,,1st Round Pick,$24440000
108,Larry Nance Jr.\nancela02,CLE,$11709091,$10690909,$9672727,,,,1st Round pick,$32072727
109,Jordan Clarkson\clarkjo01,UTA,$11500000,$12420000,$13340000,$14260000,,,Bird,$37260000
110,Spencer Dinwiddie\dinwisp01,BRK,$11454048,$12302496,,,,,Minimum Salary,$11454048
111,Dillon Brooks\brookdi01,MEM,$11400000,$12200000,$11400000,,,,MLE,$35000000
112,Lonzo Ball\balllo01,NOP,$11003782,,,,,,1st Round Pick,$11003782
113,Norman Powell\powelno01,TOR,$10865952,$11615328,,,,,Cap Space,$10865952
114,Joe Ingles\inglejo01,UTA,$10863637,$14000000,,,,,Bird Rights,$24863637
115,Josh Richardson\richajo01,DAL,$10800000,$11600000,,,,,Minimum Salary,$10800000
116,Jeremy Lamb\lambje01,IND,$10500000,$10500000,,,,,Cap Space,$21000000
117,DeAndre Jordan\jordade01,BRK,$10375678,$9881598,$9821842,,,,Cap space,$30079118
118,Zion Williamson\willizi01,NOP,$10245480,$10733400,$13534817,,,,1st Round Pick,$10245480
119,Dwight Powell\poweldw01,DAL,$10185185,$11000000,$11814815,,,,Cap Space,$33000000
120,Rodney Hood\hoodro01,POR,$10047450,$10851246,,,,,Early Bird,$10047450
121,Deandre Ayton\aytonde01,PHO,$10018200,$12632950,,,,,1st Round Pick,$22651150
122,Tomáš Satoranský\satorto01,CHI,$10000000,$10000000,,,,,Sign and Trade,$15000000
123,Paul Millsap\millspa01,DEN,$10000000,,,,,,Bird,$10000000
124,Jayson Tatum\tatumja01,BOS,$9897120,$28103550,$30351834,$32600118,$34848402,$37096686,1st Round Pick,$135801024
125,Anthony Edwards\edwaran01,MIN,$9757440,$10245480,$10733400,$13534817,,,1st Round Pick,$20002920
126,Meyers Leonard\leoname01,MIA,$9756098,$10243902,,,,,Bird,$9756098
127,Al-Farouq Aminu\aminual01,ORL,$9720900,$10183800,,,,,MLE,$19904700
128,Dante Exum\exumda01,CLE,$9600000,,,,,,Cap Space,$9100000
129,George Hill\hillge01,OKC,$9590602,$10047297,,,,,Cap Space,$10866093
130,Kyle Anderson\anderky01,MEM,$9505100,$9937150,,,,,MLE,$19442250
131,Derrick Jones Jr.\jonesde02,POR,$9268293,$9731707,,,,,MLE,$19000000
132,Jae Crowder\crowdja01,PHO,$9258000,$9720900,$10183800,,,,MLE,$29162700
