Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
53,JaKarr Sampson\sampsja02,SF,25,CHI,4,127,22.5,.633,.259,.389,4.2,23.4,13.7,5.3,1.5,2.0,5.9,23.1,,0.3,0.1,0.5,.173,,3.6,0.2,3.7,0.2
54,Brandon Sampson\sampsbr01,SG,21,CHI,14,214,8.5,.567,.483,.100,1.5,6.7,4.1,6.8,1.8,1.2,16.1,15.2,,-0.1,0.1,0.0,.010,,-3.9,-0.9,-4.7,-0.1
55,Lauri Markkanen\markkla01,PF,21,CHI,52,1682,17.1,.553,.418,.245,4.7,25.9,15.2,7.2,1.1,1.7,8.8,25.1,,1.3,1.5,2.7,.078,,1.4,-1.5,-0.2,0.7
56,Robin Lopez\lopezro01,C,30,CHI,74,1606,15.9,.598,.058,.230,9.4,10.0,9.7,8.8,0.3,4.2,14.0,18.6,,2.0,0.7,2.7,.081,,-0.6,-1.4,-1.9,0.0
57,Walt Lemon Jr.\lemonwa01,PG,26,CHI,6,167,16.3,.468,.057,.126,2.6,15.1,8.8,30.3,3.2,0.5,9.8,26.6,,-0.1,0.2,0.1,.026,,-2.4,0.2,-2.2,0.0
58,Zach LaVine\lavinza01,SG,23,CHI,63,2171,18.7,.574,.283,.330,2.0,12.9,7.4,22.6,1.3,1.0,14.2,30.5,,1.7,1.1,2.8,.062,,2.4,-1.6,0.8,1.5
59,Chandler Hutchison\hutchch01,SF,22,CHI,44,895,8.8,.507,.239,.182,3.7,18.9,11.2,5.3,1.2,0.6,10.0,12.2,,0.0,0.6,0.6,.030,,-3.4,-0.5,-3.9,-0.4
60,Shaquille Harrison\harrish01,SG,25,CHI,73,1430,12.4,.494,.209,.289,2.5,14.5,8.4,14.1,3.0,1.8,11.1,16.5,,-0.1,1.6,1.4,.048,,-2.8,1.5,-1.3,0.2
61,Cristiano Felício\feliccr01,C,26,CHI,60,746,13.4,.568,.022,.408,11.4,20.5,15.9,7.2,0.7,0.8,13.5,14.3,,0.9,0.4,1.4,.088,,-2.0,-2.1,-4.1,-0.4
62,Kris Dunn\dunnkr01,PG,24,CHI,46,1389,12.4,.484,.190,.136,1.5,13.3,7.3,30.0,2.4,1.3,16.2,20.1,,-0.5,1.2,0.6,.022,,-2.8,0.2,-2.7,-0.2
